id,label,definition,synonyms,xrefs
DOID:0050884,,"A glucose metabolism disorder that is characterized by chronic haemolytic anaemia, cardiomyopathy, susceptibility to infections and severe neurological dysfunction, and has_material_basis_in the triosephosphate isomerase enzyme (TPI1) gene inherited as an autosomal recessive trait.","{'val': 'Triose phosphate-isomerase deficiency', 'pred': 'EXACT', 'xrefs': []}","GARD:5287, MESH:C566029, MIM:615512"
DOID:0050885,,"A syndrome that is characterized by intrauterine growth restriction, metaphyseal dysplasia, adrenal hypoplasia congenita, genital abnormalities and has_material_basis_in heterozygous mutation in the CDKN1C gene.","{'val': 'intrauterine growth restriction, metaphyseal dysplasia, adrenal hypoplasia congenita, genital abnormalities', 'pred': 'EXACT', 'xrefs': []}","GARD:12312, MIM:614732"
DOID:0050886,,"A hereditary spastic paraplegia that is characterized by spasticity of the leg muscles, progressive muscle weakness, paraplegia, muscle wasting in the hands and feet (distal amyotrophy), small stature, developmental delay, learning disorders, speech difficulties (dysarthria), and mood swings, and has_material_basis_in a mutation of the SPG20 gene.","{'val': 'autosomal recessive spastic paraplegia 20', 'pred': 'EXACT', 'xrefs': []}, {'val': 'autosomal recessive spastic paraplegia Troyer type', 'pred': 'EXACT', 'xrefs': []}, {'val': 'autosomal recessive spastic paraplegia type 20', 'pred': 'EXACT', 'xrefs': []}, {'val': 'childhood-onset spastic paraparesis with distal muscle wasting', 'pred': 'EXACT', 'xrefs': []}, {'val': 'hereditary spastic paraplegia 20', 'pred': 'EXACT', 'xrefs': []}, {'val': 'spastic paraplegia 20', 'pred': 'EXACT', 'xrefs': []}, {'val': 'spastic paraplegia type 20', 'pred': 'EXACT', 'xrefs': []}, {'val': 'SPG20', 'pred': 'EXACT', 'synonym_type': 'OMO:0003012', 'xrefs': []}","GARD:5372, ICD10CM:G11.4, MIM:275900, ORDO:101000"
DOID:0050887,,"A syndrome that is characterized by imperforate anus, dysplastic ears often associated with sensorineural and/or conductive hearing impairment, and thumb malformations.",,"GARD:7784, MESH:C536974, MIM:107480"
DOID:0050888,,An intellectual disability that is characterized by the presence of associated medical and behavioral sign and symptoms.,,
DOID:0050889,,An intellectual disability that is characterized by the absence of associated medical and behavioral signs and symptoms.,,
DOID:0050890,,"A neurodegenerative disease that is characterized by the abnormal accumulation of aggregates of alpha-synuclein protein in neurons, nerve fibres or glial cells.","{'val': 'alpha Synucleinopathies', 'pred': 'EXACT', 'xrefs': []}, {'val': 'Synucleinopathies', 'pred': 'EXACT', 'xrefs': []}",
DOID:0050891,,An adrenal adenoma that is a benign tumor of the adrenal cortex.,"{'val': 'adrenocortical adenoma', 'pred': 'EXACT', 'xrefs': []}",ICDO:8370/0
DOID:0050892,,A malignant pheochromocytoma that is characterized by overproduction of adrenaline.,,
DOID:0050893,,A gallbladder benign neoplasm that has_material_basis_in epithelial tissue of glandular origin located_in the gallbladder.,,
DOID:0050894,,A cell type benign neoplasm that has_material_basis_in odontogenic epithelium.,,"GARD:5747, ICDO:9310/0, MESH:D000564"
DOID:0050895,,A bone benign neoplasm that has_material_basis_in odontogenic epithelium and is located_in bone.,,
DOID:0050896,,A bone carcinoma that derives_from squamous epithelial cells.,,
DOID:0050897,,A chondrosarcoma that is located_in bone.,,
DOID:0050898,,A bone benign neoplasm that is located_in the phalanx that has_material_basis_in cartilaginous cells.,,
DOID:0050899,,A brain stem cancer that begins in the lower part of the brain on the floor of the skull.,,
DOID:0050900,,A spinal chordoma that is located_in the sacrum.,,
DOID:0050901,,A brain oligodendroglioma located_in the corpus callosum.,,
DOID:0050902,,An infratentorial cancer that is located_in the lower part of the brain and is a type of primitive neuroectodermal tumor.,"{'val': 'brain medulloblastoma', 'pred': 'EXACT', 'xrefs': []}, {'val': 'CNS PNET', 'pred': 'EXACT', 'synonym_type': 'OMO:0003012', 'xrefs': []}, {'val': 'CPNET', 'pred': 'EXACT', 'synonym_type': 'OMO:0003012', 'xrefs': []}, {'val': 'infratentorial primitive neuroectodermal tumor', 'pred': 'EXACT', 'xrefs': []}, {'val': 'localized primitive neuroectodermal tumor', 'pred': 'EXACT', 'xrefs': []}, {'val': 'Medulloblastoma, histologically defined', 'pred': 'EXACT', 'xrefs': []}","GARD:7005, ICDO:9470/3, MESH:D008527, MESH:D018242, MIM:155255, NCI:C27294, NCI:C3222, NCI:C3716, ORDO:616, SNOMEDCT_US_2023_03_01:189925001, SNOMEDCT_US_2023_03_01:443333004, UMLS_CUI:C0025149, UMLS_CUI:C0206663, UMLS_CUI:C1334410"
DOID:0050903,,A parietal lobe neoplasm that has_material_basis_in cells lining the ventricles of the brain.,,
DOID:0050904,,A salivary gland cancer that has_material_basis_in epithelial cells.,,
DOID:0050905,,A mesenchymal cell neoplasm that has_material_basis_in myofibroblastic cells admixed with inflammatory cells.,,GARD:7146
DOID:0050906,,A sensory organ benign neoplasm that is located in the eye conjunctiva.,,
DOID:0050907,,A mixed germ cell cancer that is located_in areas of the body other than the ovary or testicle.,,
DOID:0050908,,"A bone marrow cancer that is characterized by under production of white blood cells, red blood cells and platelets.",,"GARD:7132, ICDO:9989/3, MESH:D009190, MIM:614286, UMLS_CUI:C2713368"
DOID:0050909,,A marginal zone B-cell lymphoma that has_material_basis_in mucosal tissue involved in antibody production.,"{'val': 'MALT lymphoma', 'pred': 'EXACT', 'xrefs': []}, {'val': 'MALT lymphoma of the dura', 'pred': 'EXACT', 'xrefs': []}, {'val': 'mucosa-associated lymphoid tissue lymphoma', 'pred': 'EXACT', 'xrefs': []}","ICDO:9699/3, MIM:137245, NCI:C3898"
DOID:0050910,,A cecal benign neoplasm that has_material_basis_in epithelial tissue with glandular origin.,"{'val': 'caecum adenoma', 'pred': 'EXACT', 'xrefs': []}",
DOID:0050911,,An appendix cancer that has_material_basis_in neurodendocrine cells.,"{'val': 'appendix carcinoid endocrine tumour', 'pred': 'EXACT', 'xrefs': []}",
DOID:0050912,,A colonic benign neoplasm that has_material_basis_in epithelial tissue with glandular origin.,,
DOID:0050913,,A large intestine cancer that has_material_basis_in epithelial cells of glandular origin.,,
DOID:0050914,,An intestinal benign neoplasm that has_material_basis_in epithelial tissue with glandular origin and is located_in the large intestine.,,
DOID:0050915,,An rectal benign neoplasm that has_material_basis_in epithelial tissue with glandular origin.,"{'val': 'rectum adenoma', 'pred': 'EXACT', 'xrefs': []}",NCI:C5546
DOID:0050916,,A mucoepidermoid carcinoma located_in the bronchus.,,
DOID:0050917,,A lung combined type small cell carcinoma that has_material_basis_in epithelial tissue of glandular origin.,,
DOID:0050918,,A vaginal cancer that has_material_basis_in epithelial cells.,,
DOID:0050919,,A mucoepidermoid carcinoma located_in the trachea.,,
DOID:0050920,,A tonsil cancer that has_material_basis_in squamous cells.,,
DOID:0050921,,A pharynx cancer that has_material_basis_in squamous cells.,,
DOID:0050922,,A gastrointestinal system cancer that has_material_basis_in epithelial cells.,,
DOID:0050923,,A thyroid gland carcinoma that has_material_basis_in compact bundles of long spindle epithelial cells that merge with tubulopapillary structures and/or mucinous glands.,"{'val': 'SETTLE tumor', 'pred': 'EXACT', 'xrefs': []}, {'val': 'SETTLE tumour', 'pred': 'EXACT', 'xrefs': []}, {'val': 'spindle epithelial tumour with thymus-like differentiation tumour', 'pred': 'EXACT', 'xrefs': []}",
DOID:0050924,,"A muscle cancer that is located_in striated muscle and has_material_basis_in rhabdoid cells which are large cells with eccentrically located nuclei and abundant, eosinophilic cytoplasm.",,
DOID:0050925,,A neuroendocrine tumor that has_material_basis_in cells of the neuroendocrine system and that is located in the small intestine.,"{'val': 'intestinal carcinoid tumour', 'pred': 'BROAD', 'xrefs': []}",MIM:114900
DOID:0050926,,A jejunal cancer that is located_in the jejunum and has_material_basis_in epithelial tissue that has glandular origin.,,
DOID:0050927,,A duodenal benign neoplasm that has_material_basis_in epithelial tissue with glandular origin.,,
DOID:0050928,,An ovarian cancer that has_material_basis_in melanoctyes.,,
DOID:0050929,,"A melanoma that has_material_basis_in melanocytes located_in mucosal membranes lining the respiratory, gastrointestinal and urogenital tract.",,
DOID:0050930,,A sublingual gland cancer that is characterized by a distinctive pattern in which abnormal nests or cords of epithelial cells surround and/or infiltrate ducts or glandular structures within the affected organ.,,
DOID:0050931,,A parotid gland cancer that is characterized by a distinctive pattern in which abnormal nests or cords of epithelial cells surround and/or infiltrate ducts or glandular structures within the affected organ.,,
DOID:0050932,,"A lung carcinoma that has_material_basis_in a combination of squamous cells, mucus secreting cells and intermediate cells.",,
DOID:0050933,,An ovarian carcinoma that has_material_basis_in the lining of the ovary and produces a serum-like fluid.,,
DOID:0050934,,An ovarian carcinoma that has_material_basis_in cells with clear cytoplasm and glycogen secreting hob nail cells.,"{'val': 'clear-cell ovarian carcinoma', 'pred': 'EXACT', 'xrefs': []}",
DOID:0050935,,An extracranial neuroblastoma that has_material_basis_in immature nerve cells.,,
DOID:0050936,,A malignant pheochromocytoma that originate in the ganglia of the sympathetic nervous system and are named based upon the primary anatomical site of origin.,,
DOID:0050937,,A retroperitoneal cancer that has_material_basis_in immature nerve cells.,,
DOID:0050938,,A breast carcinoma that derives_from breast lobules (milk glands).,,"ICDO:8520/3, NCI:C3771"
DOID:0050939,,A uterine corpus cancer that is derives_from the inner lining of the uterus.,,
DOID:0050940,,An endocervical carcinoma that derives_from epithelial cells of glandular origin.,,
DOID:0050941,,"A spastic ataxia that is characterized by cerebellar ataxia, spasticity and peripheral neuropathy in the first two decades of life, has_material_basis_in homozygous mutation in the KIF1C gene on chromosome 17p13.",,MIM:611302
DOID:0050942,,"A spastic ataxia that is characterized by cerebellar ataxia, spasticity, hyperreflexia, urinary urgency and dysarthria, has_material_basis_in homozygous or compound heterozygous complex genomic rearrangements involving the MARS2 gene on chromosome 2q33.",,MIM:611390
DOID:0050943,,"A spastic ataxia that is characterized by cerebellar ataxia, spasticity, dysarthria and optic atrophy, has_material_basis_in homozygous mutation in the MTPAP gene on chromosome 10p11.",,MIM:613672
DOID:0050944,,"A spastic ataxia that is characterized by early onset of cerebellar ataxia, spasticity, oculomotor apraxia, dystonia and myoclonic epilepsy, has_material_basis_in homozygous mutation in the AFG3L2 gene on chromosome 18p11.",,MIM:614487
DOID:0050945,,"A spastic ataxia that is characterized by poor visual acuity, cerebellar ataxia, dysarthria and pyramidal signs.",,MIM:108650
DOID:0050946,,"An autosomal recessive cerebellar ataxia that is characterized by early onset of cerebellar ataxia, pyramidal tract signs and peripheral neuropathy, has_material_basis_in homozygous or compound heterozygous mutation in the gene encoding the sacsin protein on chromosome 13q12.",,"GARD:4910, MESH:C536787, MIM:270550"
DOID:0050947,,"A rickets that has_material_basis_in increased serum 1,25-dihydroxyvitamin D levels and increased intestinal calcium absorption and is characterized by the presence of hypophosphatemia secondary to renal phosphate wasting, radiographic and/or histologic evidence of rickets, limb deformities, muscle weakness, and bone pain.",,MIM:241530
DOID:0050948,,A rickets characterized by low levels of serum phosphate and elevated levels of ALP and phosphaturia and that has_material_basis_in autosomal dominant inheritance.,,MIM:193100
DOID:0050949,,"A rickets that has_material_basis_in autosomal recessive inheritance mutation in the DMP1 gene and is characterized by hypophosphatemia, rickets and/or osteomalacia and slow growth.",,"MIM:241520, MIM:613312, ORDO:289176"
DOID:0050950,,A cerebellar ataxia that has_material_basis_in autosomal recessive inheritance.,,"MIM:PS213200, ORDO:1172"
DOID:0050951,,"A neurodegenerative disease that is characterized by slowly progressive incoordination of gait and often associated with poor coordination of hands, speech, and eye movements.",,GARD:6614
DOID:0050952,,"A hereditary ataxia that is characterized by early onset of cerebellar ataxia, pyramidal tract signs and peripheral neuropathy.",,MESH:C564815
DOID:0050953,,A hereditary ataxia that is characterized by X-linked inheritance.,,
DOID:0050954,,"An autosomal dominant cerebellar ataxia that is characterized by ataxia, dysarthria, dysphagia, dystonia and peripheral neuropathy that begins in early adulthood, has_material_basis_in the expanded (CAG)n trinucleotide repeat of ataxin-1 gene on chromosome 6p22.",,"GARD:4071, MIM:164400"
DOID:0050955,,"An autosomal dominant cerebellar ataxia that is characterized by ataxia, bulbar palsy, peripheral neuropathy chorea and muscle atrophy, has_material_basis_in mutation in the ATXN2 gene.",,MIM:183090
DOID:0050956,,"An autosomal dominant cerebellar ataxia that is characterized by progressive ataxia, has_material_basis_in mutation in the CACNA1A gene.",,"GARD:10351, MIM:183086"
DOID:0050957,,"An autosomal dominant cerebellar ataxia that is characterized by progressive ataxia, dysarthria and peripheral neuropathy that has_material_basis_in heterozygous trinucleotide repeat expansion (GGCn) in the ZFHX3 gene on chromosome 16q22.","{'val': 'SCA4', 'pred': 'EXACT', 'synonym_type': 'OMO:0003012', 'xrefs': []}","GARD:9970, MIM:600223, ORDO:98765, SNOMEDCT_US_2023_03_01:715755008, UMLS_CUI:C0752122"
DOID:0050958,,"An autosomal dominant cerebellar ataxia that is characterized by ataxia, progressive vision loss, and failure to thrive, has_material_basis_in mutation in the ATXN7 gene.",,MIM:164500
DOID:0050959,,"An autosomal dominant cerebellar ataxia that is characterized by slowly progressive dysarthria, bradykinesia, nystagmus and loss of coordination, has_material_basis_in mutation in the ATXN80S gene.",,MIM:608768
DOID:0050960,,"An autosomal dominant cerebellar ataxia that is characterized by gait ataxia, upper-limb ataxia, dysarthria and dysphagia, has_material_basis_in mutation in the ATXN10 gene.",,"GARD:10474, MIM:603516"
DOID:0050961,,"An autosomal dominant cerebellar ataxia that is characterized by ataxia, nystagmus, pyramidal abnormalities and peripheral neuropathy, has_material_basis_in mutation in the TTBK2 gene.",,MIM:604432
DOID:0050962,,"An autosomal dominant cerebellar ataxia that is characterized by minor ataxia and intention tremor, has_material_basis_in CAG expansion of the PPP2R2B gene.",,MIM:604326
DOID:0050963,,"An autosomal dominant cerebellar ataxia that is characterized by developmental delay, ataxia, myoclinic jerks, dysarthria, dysphagia and seizure, and has_material_basis_in mutation in the KCNC3 gene.",,MIM:605259
DOID:0050964,,"An autosomal dominant cerebellar ataxia that is characterized by progressive ataxia, dysarthria and dysphagia, has_material_basis_in mutation in the PRKCG gene.",,MIM:605361
DOID:0050965,,"An autosomal dominant cerebellar ataxia that is characterized by progressive ataxia, nystagmus, dysarthria and dysphagia, has_material_basis_in mutation in the ITPR1 gene.","{'val': 'spinocerebellar ataxia type 16', 'pred': 'EXACT', 'xrefs': []}",MIM:606658
DOID:0050967,,"An autosomal dominant cerebellar ataxia that is characterized by chorea, dementia, dystonia, spasiticity and seizure, has_material_basis_in CAG repeat expansion in the TBP gene.",,"GARD:10469, MIM:607136"
DOID:0050968,,"An autosomal dominant cerebellar ataxia that is characterized by ataxia, sensorineal deafness, narcolepsy with cataplexy, and dementia, has_material_basis_in mutation in the DNMT1 gene.",,"GARD:12372, MIM:604121"
DOID:0050969,,"An autosomal dominant cerebellar ataxia that is characterized by cerebellar ataxia and sensory neuropathy, has_material_basis_in mutation on chromosome 7q22-q23.",,"GARD:9976, MIM:607458"
DOID:0050970,,"An autosomal dominant cerebellar ataxia that is characterized by mild cerebellar ataxia, cognitive impairment, myoclonus and tremor.",,"GARD:12365, MIM:607346"
DOID:0050971,,An autosomal dominant cerebellar ataxia that is characterized by cerebellar dysarthria.,,"GARD:9997, MIM:608687"
DOID:0050972,,"An autosomal dominant cerebellar ataxia that is characterized by progressive cerebellar ataxia, cognitive impairment, tremor, bradykinesia and rigidity.",,"GARD:9999, MIM:607454"
DOID:0050973,,"An autosomal dominnant cerebellar ataxia that is characterized by slowly progressive ataxia, dysarthria, slow saccades and hyperreflexia, has_material_basis_in mutation in the PDYN gene.",,MIM:610245
DOID:0050974,,"An autosomal dominant cerebellar ataxia that is characterized by ataxia and sensory neuropathy, has_material_basis_in repeat CAG expansion on chromosome 2p15-p21.",,"GARD:9996, MESH:C537202, MIM:608703"
DOID:0050975,,"An autosomal dominant cerebellar ataxia that is characterized by slowly progressive ataxia and oculomotor abnormalities, has_material_basis_in mutation in the EEF2 gene.",,"GARD:9995, MESH:C537203, MIM:609306"
DOID:0050976,,"An autosomal dominant cerebellar ataxia that is characterized by general cerebellar dysfunction manifest as gait disturbances, ataxia, tremor, dysarthria, and gaze-evoked nystagmus and has_material_basis_in heterozygous mutation in the FGF14 gene on chromosome 13q33. Some patients have heterozygous deletions of chromosome 13q33 affecting the FGF14 and ITGBL1 genes, which may thus be considered a contiguous gene deletion syndrome.","{'val': 'autosomal dominant congenital nystagmus 4', 'pred': 'EXACT', 'xrefs': []}, {'val': 'congenital nystagmus 4', 'pred': 'EXACT', 'xrefs': []}, {'val': 'SCA27A', 'pred': 'EXACT', 'synonym_type': 'OMO:0003012', 'xrefs': []}, {'val': 'spinocerebellar ataxia type 27', 'pred': 'EXACT', 'xrefs': []}, {'val': 'vestibulocerebellar disorder with predominant ocular signs', 'pred': 'EXACT', 'xrefs': []}","GARD:9603, MIM:193003"
DOID:0050977,,"An autosomal dominant cerebellar ataxia that is characterized by progressive ataxia, dysarthria, hyperreflexia, ophthalmoparesis, nystagmus and ptosis, and has_material_basis_in mutation in the AFG3L2 gene.",,MIM:610246
DOID:0050978,,"An autosomal dominant cerebellar ataxia that is characterized by progressive ataxia, intellectual disability, dysarthria and ophthalmoplegia, and has_material_basis_in mutation in the ITPR1 gene.",,MIM:117360
DOID:0050979,,"An autosomal dominant cerebellar ataxia that is characterized by slowly progressive gait abnormalities and dysarthria, has_material_basis_in mutation in the ODZ3 gene.",,"GARD:4950, MIM:613371"
DOID:0050980,,"An autosomal dominant cerebellar ataxia that is characterized by late-onset ataxia, dysarthria and horizontal nystagmus, has_material_basis_in repeat expansion mutation in the BEAN1 gene.",,MIM:117210
DOID:0050981,,"An autosomal dominant cerebellar ataxia that is characterized by papulosquamous, ichthyosiform plaques at birth and progressive ataxia, dysarthria, nystagmus and hyporeflexia, has_material_basis_in mutation in the ELOVL4 gene.",,MIM:133190
DOID:0050982,,"An autosomal dominant cerebellar ataxia that is characterized by a slowly progressive ataxia, tremor, dysarthria and hyperreflexia, has_material_basis_in mutation in the TGM6 gene.",,MIM:613908
DOID:0050983,,"An autosomal dominant cerebellar ataxia that is characterized by progressive ataxia, dysarthria, hyperreflexia, sensiorineural hearing loss and muscle atrophy, has_material_basis_in mutation in the NOP56 gene.",,MIM:614153
DOID:0050984,,"An autosomal dominant cerebellar ataxia that is characterized by progressive ataxia and dysarthria, presenting in mid-adulthood, and has_material_basis_in mutation to the DAB1 gene.",,MIM:615945
DOID:0050985,,"An autosomal dominant cerebellar ataxia that is characterized by slowly progressive ataxia and nystagmus, presenting in mid-adulthood, and has_material_basis_in mutation to the ELOVL5 gene.",,MIM:615957
DOID:0050986,,"An autosomal dominant cerebellar ataxia that is characterized by progressive gait abnormalities, dysarthria, tremor and hyporeflexia, has_material_basis_in mutation in the CCDC88C gene.",,MIM:616053
DOID:0050987,,"An autosomal dominant cerebellar ataxia that is characterized by nystagmus, spasticity, and a distinct pattern of MRI abnormalities.",,
DOID:0050988,,"An autosomal dominant cerebellar ataxia that is characterized by cognitive delay, abnormal eye movements, and hearing loss.",,
DOID:0050989,,"An episodic ataxia that is characterized by periodic ataxia and frequent myokymic discharges, and has_material_basis_in autosomal dominant inheritance of mutation in the potassium channel gene KCNA1.",,MIM:160120
DOID:0050990,,"An episodic ataxia that is characterized by periodic ataxia and nystagmus, and has_material_basis_in autosomal dominant inheritance of mutation in the calcium channel gene CACNA1A.",,"MESH:C535506, MIM:108500"
DOID:0050991,,"An episodic ataxia that is characterized by periodic ataxia, myokymia, vertigo and tinnitus, and has_material_basis_in autosomal dominant inheritance.",,MIM:606554
DOID:0050992,,An episodic ataxia that is characterized by vertigo and diplopia.,,MIM:606552
DOID:0050993,,"An episodic ataxia that is characterized by dysarthria and vertigo, develops in early childhood, and has_material_basis_in autosomal dominant inheritance of mutation in the CACNB4 gene.",,MIM:613855
DOID:0050994,,"An episodic ataxia that is characterized by nystagmus and dysarthria, and has_material_basis_in autosomal dominant inheritance of mutation in the SLC1A3 gene.",,MIM:612656
DOID:0050995,,"An episodic ataxia that is characterized by episodes of weakness and dysarthria, and has_material_basis_in autosomal dominant inheritance.",,MIM:611907
DOID:0050996,,"An episodic ataxia that is characterized by weakness, dysarthria and myokymia, and has_material_basis_in autosomal dominant inheritance of mutation in the UBR4 gene.",,MIM:616055
DOID:0050997,,"A syndrome characterized by congenital onset of nonprogressive cerebellar ataxia, disturbed equilibrium, and mental retardation, associated with cerebellar hypoplasia.","{'val': 'CAMRQ', 'pred': 'EXACT', 'synonym_type': 'OMO:0003012', 'xrefs': []}, {'val': 'CAMRQ syndrome', 'pred': 'EXACT', 'xrefs': []}, {'val': 'cerebellar ataxia and mental retardation with or without quadrupedal locomotion', 'pred': 'EXACT', 'xrefs': []}, {'val': 'cerebellar ataxia, mental retardation, and disequilibrium syndrome', 'pred': 'EXACT', 'xrefs': []}, {'val': 'cerebellar ataxia, mental retardation, and dysequilibrium syndrome', 'pred': 'EXACT', 'xrefs': []}, {'val': 'DES', 'pred': 'EXACT', 'synonym_type': 'OMO:0003012', 'xrefs': []}, {'val': 'disequilibrium syndrome', 'pred': 'RELATED', 'xrefs': []}, {'val': 'dysequilibrium syndrome', 'pred': 'RELATED', 'xrefs': []}, {'val': 'Uner Tan syndrome', 'pred': 'EXACT', 'xrefs': []}, {'val': 'UTS', 'pred': 'EXACT', 'synonym_type': 'OMO:0003012', 'xrefs': []}","GARD:1998, MESH:C535731, MIM:PS224050, ORDO:1766, UMLS_CUI:C0394006"
DOID:0050998,,"An autosomal dominant cerebellar ataxia that is characterized by early onset of nonprogressive cerebellar ataxia, developmental delay, intellectual impairment and cerebellar atrophy, and has_material_basis_in autosomal dominant inheritance of mutation in the CAMTA1 gene.",,MIM:614756
DOID:0050999,,"An autosomal recessive cerebellar ataxia that is characterized by ataxia, dysarthria, nystagmus and marked cerebellar atrophy, has_material_basis_in mutation in the ANO10 gene.","{'val': 'SCAR10', 'pred': 'EXACT', 'synonym_type': 'OMO:0003012', 'xrefs': []}",MIM:613728
DOID:0051000,,"A primary immunodeficiency disease that is characterized by the activation of innate immune cells without an infection or injury being present, thus kickstarting the release of cytokines and other immune responses, causing fever and inflammation.",,
DOID:0051001,,"A congenital dyserythropoietic anemia characterized by macrocytic anemia, aberrant giant multinucleated erythroblasts in the bone marrow, and skull defects secondary to severe anemia with ineffective erythropoiesis and that has_material_basis_in homozygous or compound heterozygous mutation in the RACGAP1 gene on chromosome 12q13.",,MIM:619789
DOID:0051002,,"A congenital dyserythropoietic anemia characterized by neonatal jaundice, hyperbilirubinemia, and severe congenital hemolytic anemia requiring transfusionn and that has_material_basis_in homozygous or compound heterozygous mutation in the KLF1 gene on chromosome 19p13.13.",,MIM:620969
DOID:0051003,,"A congenital nonspherocytic hemolytic anemia that has_material_basis_in mutation in the G6PD gene on chromosome Xq28, and is the most common genetic form of chronic and drug-, food-, or infection-induced hemolytic anemia.",,MIM:300908
DOID:0051004,,A congenital nonspherocytic hemolytic anemia that has_material_basis_in homozygous or compound heterozygous mutation in the AK1 gene on chromosome 9q34.,,MIM:612631
DOID:0051005,,A congenital nonspherocytic hemolytic anemia that has_material_basis_in homozygous or compound heterozygous mutation in the PHI gene (GPI) on chromosome 19q13.,,MIM:613470
DOID:0051006,,"A congenital nonspherocytic hemolytic anemia that has_material_basis_in homozygous or compound heterozygous mutation in the HK1 gene, which encodes a form of hexokinase, on chromosome 10q22.",,MIM:235700
DOID:0051007,,A congenital nonspherocytic hemolytic anemia that has_material_basis_in homozygous or compound heterozygous mutation in the UMPH1 gene (NT5C3A) on chromosome 7p14.,,MIM:266120
DOID:0051008,,A congenital nonspherocytic hemolytic anemia that has_material_basis_in hemizygous or heterozygous mutation in the GATA1 gene on chromosome Xp11.,,MIM:301083
DOID:0051009,,A congenital nonspherocytic hemolytic anemia that has_material_basis_in homozygous or compound heterozygous mutation in the GSR gene on chromosome 8p21.,,MIM:618660
DOID:0051010,,An autosomal dominant intellectual developmental disorder that is characterized by developmental delay / intellectual disability (typically in the severe range) and nonspecific craniofacial abnormalities.,,MIM:PS619720
DOID:0051011,,"A Bryant-Li-Bhoj neurodevelopmental syndrome that is characterized predominantly by moderate to severe global developmental delay with impaired intellectual development, poor or absent speech, and delayed motor milestones and that has_material_basis_in heterozygous mutation in the H3F3A gene on chromosome 1q42.",,MIM:619720
DOID:0051012,,"A Bryant-Li-Bhoj neurodevelopmental syndrome that is characterized predominantly by moderate to severe global developmental delay with impaired intellectual development, poor or absent speech, and delayed motor milestones nd that has_material_basis_in heterozygous mutation in the H3F3B gene on chromosome 17q25.",,MIM:619721
DOID:0051013,,A pseudohypoparathyroidism that has_material_basis_in a heterozygous mutation on the maternal allele of the GNAS gene on chromosome 20q13.,"{'val': 'PHP Ic', 'pred': 'EXACT', 'synonym_type': 'OMO:0003012', 'xrefs': []}","GARD:10681, MIM:612462, ORDO:79444"
DOID:0051014,,"An adult onset demyelinating leukodystrophy that is characterized by pyramidal signs with weakness and spasticity, dysarthria, dysautonomia, and white matter alterations affecting the cerebrum and corticospinal tracts while sparing the cerebellum and that has_material_basis_in heterozygous deletion involving regulatory elements upstream of the LMNB1 gene on chromosome 5q23. Atypical ADLD can be distinguished from typical ADLD by lack of early involvement of the autonomic nervous system and sparing of the cerebellum clinically and on brain imaging.",,MIM:621061
DOID:0051015,,"A leukodystrophy that is characterized by central nervous system demyelination, leading to autonomic dysfunction, ataxia and mild cognitive impairment.","{'val': 'autosomal dominant adult-onset demyelinating leukodystrophy', 'pred': 'EXACT', 'xrefs': []}, {'val': 'Autosomal dominant leukodystrophy with autonomic disease', 'pred': 'EXACT', 'xrefs': []}","MIM:PS169500, ORDO:99027"
DOID:0051016,,"A visceral heterotaxy that is characterized by randomization of the placement of visceral organs, including the heart, lungs, liver, spleen, and stomach and that has_material_basis_in mutation in the ZIC3 gene on chromosome Xq26.",,MIM:306955
DOID:0051017,,A visceral heterotaxy that has_material_basis_in heterozygous mutation in the CFC1 gene on chromosome 2q21.,,MIM:605376
DOID:0051018,,A visceral heterotaxy that has been mapped to chromosome 6q21.,,MIM:606325
DOID:0051019,,A visceral heterotaxy that is has_material_basis_in heterozygous mutation in the ACVR2B gene on chromosome 3p22.,,MIM:613751
DOID:0051020,,A visceral heterotaxy that is has_material_basis_in homozygous mutation in the CCDC11 gene (CFAP53) on chromosome 18q21.,,MIM:614779
DOID:0051021,,A visceral heterotaxy that is characterized by complex congenital heart malformations and/or situs inversus and caused by defects in the normal left-right asymmetric positioning of internal organs and that has_material_basis_in homozygous or compound heterozygous mutation in the MMP21 gene on chromosome 10q26.,,MIM:616749
DOID:0051022,,A visceral heterotaxy that is characterized by visceral situs inversus associated with complex congenital heart malformations caused by defects in the normal left-right asymmetric positioning of internal organs and that has_material_basis_in homozygous or compound heterozygous mutation in the PKD1L1 gene on chromosome 7p12.,,MIM:617205
DOID:0051023,,"A visceral heterotaxy that is characterized by randomization of organ laterality, resulting in defects such as situs inversus and dextrocardia and that has_material_basis_in homozygous mutation in the MNS1 gene on chromosome 15q21.",,MIM:618948
DOID:0051024,,"A visceral heterotaxy that is characterized by a failure to generate normal left-right visceral asymmetry during embryogenesis, which can result in heterotaxy syndrome or situs inversus totalis and that has_material_basis_in homozygous mutation in the CFAP52 gene on chromosome 17p13.",,MIM:619607
DOID:0051025,,"A visceral heterotaxy that is characterized by a failure to generate normal left-right visceral asymmetry during embryogenesis, which can result in heterotaxy syndrome or situs inversus totalis and that has_material_basis_in homozygous or compound heterozygous mutation in the CFAP45 gene on chromosome 1q23.",,MIM:619608
DOID:0051026,,"A visceral heterotaxy that is characterized by defects in the asymmetric positioning of visceral organs across the left-right axis, known as laterality defects and that has_material_basis_in homozygous or compound heterozygous mutation in the CIROP gene on chromosome 14q11.",,MIM:619702
